x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
321 1500 1482 826 1399.5 2048.5 1967.5 230.5 192 193.5
322 1000 1407.5 864.5 1268.5 1152 1552.5 258 174.5 160
323 1000 1125 673 1065 1075.5 1069.5 174.5 166 166.5
324 1000 1161 638 1065.5 1109 1097.5 174 169.5 166
325 1000 1176 655 1111 1096 1105 178.5 170.5 169.5
326 1000 1179.5 690.5 1422 1302.5 1275.5 204 215 180.5
327 1000 1690.5 882.5 1531 1699.5 1507.5 227.5 213.5 218
328 1000 1595 876.5 1370 1551.5 1557 245.5 218.5 328.5
329 1000 1538.5 879 1430 1323.5 1748.5 250.5 235 233
330 1500 1599.5 821 1406 1162.5 1157.5 195 178 177
331 1000 1240 802.5 1129.5 1123 1103.5 168 165.5 165
332 1000 1191 772.5 1104.5 1123 1100 182 171.5 170.5
333 1000 1268.5 734 1567.5 1340 1756.5 381.5 252 368.5
334 1500 1997 899 1524.5 1296.5 1756 222 263 201
335 1500 1657 1024 1357 1354 1556 178 167.5 166.5
336 1000 1213 740 1135 1142 1141.5 218 183 189
337 1000 1417.5 757.5 1287 1520.5 1548.5 252 243.5 219.5
338 1500 1672 920.5 1144.5 1143 1172 176.5 171 171
339 1000 1243 750 1155 1158 1194.5 212.5 216 217
340 1000 1738.5 1339 1955 2129.5 1774.5 305 234 198
341 1000 1679 998 1519.5 1440.5 1380 227 230 239
342 1500 1504.5 756.5 1194 1189 1195.5 186 203.5 175.5
343 1000 1297.5 771 1199 1202.5 1200.5 180.5 176 175.5
344 1000 1315 746.5 1411 1353 1230.5 191.5 178 178
345 1000 1309.5 826 1204 1199 1211.5 177.5 175.5 174.5
346 1000 1569.5 941.5 1593.5 1538.5 1425.5 199 283 174
347 1000 1736.5 845 1246.5 1714.5 1450.5 193 175.5 229
348 1500 1788.5 1022.5 1529.5 1550 1239 181 175 175
349 1000 1372 728.5 1218.5 1220 1236.5 177.5 171 171.5
350 1000 1317 734.5 1230 1225.5 1257 180 175.5 175
351 1000 1341.5 746.5 1252.5 1255.5 1265 180.5 175 175
352 1000 1346 1043.5 1541 2084.5 1430 195 322.5 283.5
353 1500 2004 1309.5 1884.5 1608.5 1476.5 227 197 194.5
354 1500 1877.5 985.5 1250 1254 1880 281 264 251
355 1000 1369 815 1262.5 1382.5 1415 214 229.5 239.5
356 1500 1576 1133.5 1523 1602.5 1470 186 224.5 199.5
357 1000 1528.5 987 1544.5 1506 1286 187 180.5 210
358 1500 1653 970 1517 1708.5 1726 240.5 231.5 230.5
359 1500 2149 1232 1867 1797 2481.5 257.5 220.5 256.5
360 2000 1814 1304 1743 1651 1332.5 193 208 182.5
361 1000 1427.5 794.5 1348.5 1454 1414.5 228.5 181 180.5
362 1000 1538 936 1396.5 1493 1400.5 196 214.5 181.5
363 1000 1921.5 1875.5 1781.5 1578.5 1634.5 257.5 235.5 230.5
364 1500 1720 1017.5 1729.5 1648 1625.5 238 235.5 271.5
365 1500 1802.5 1186 1746.5 1645.5 2005 303 288 274
366 1500 1846.5 1047.5 1455.5 1615.5 1483.5 333 187 217
367 1500 1598.5 883 1393 1481 1460.5 379 197.5 273.5
368 1500 1610 816 1360.5 1367.5 1363.5 201 200.5 186
369 1000 1457 1086.5 1740.5 1928.5 2394 249 239 239
370 1500 1858 1033 1687 1785.5 1747.5 272.5 239.5 239
371 1500 1825 1246 2145 2293.5 1865.5 285 350 229
372 1000 1521.5 863 1416.5 1736 1928.5 298 205.5 355
373 1500 1691 1085.5 1682.5 1637.5 1406.5 196 189 188.5
374 1000 1494 1147 1783.5 1810 1632.5 250.5 232 229.5
375 1000 1757.5 1097.5 1666 1664.5 1720.5 258.5 246.5 239.5
376 1000 2534.5 946 1412.5 1557 1420.5 201 194.5 194.5
377 1000 1530 947.5 1426 1422.5 1439.5 196.5 190 189.5
378 1000 1518 888 1455.5 1455.5 1458.5 276.5 296 252.5
379 1000 1758 1137 1740 1800 1778 286 330 384
380 1500 2356.5 1207 1632 1447.5 1451 255 235 245
381 1500 2174 1094 2023.5 1619.5 1728 256 248.5 247.5
382 1500 2002 1196 1876 1809 1500 194 191.5 217
383 1000 1587 916.5 1499.5 1566.5 1523.5 209 210.5 194
384 1000 1631 912 1505 1578 1521 211 275.5 249.5
385 1500 2008 1323.5 2407.5 1818.5 2138.5 270 253 268
386 1500 2160 1362.5 1933 1611.5 1942 224.5 197.5 266.5
387 1500 1881 965.5 1792.5 1884 1502.5 210 198 197.5
388 1000 1597 903.5 1546.5 1554.5 1509 203 193.5 243.5
389 7000 1646 983 1515 1505 1507.5 198 195 195
390 1000 1680.5 907.5 1520 1527 1800 289 283.5 615.5
391 2000 2750 1433 2239.5 2249.5 1668 213.5 196 201.5
392 1000 1812 1217.5 1615 1552 1884.5 279.5 260.5 336
393 1500 2005.5 1243 1541 1546.5 1582 209 208.5 204
394 1000 1647 978 1576 1567 1554 212.5 205.5 205
395 1000 1669 931 1569.5 1569 1566.5 207 198.5 198.5
396 1000 1938 1386.5 2468.5 2246 1960 277.5 268.5 220.5
397 1000 3441.5 1632 2257 1901.5 1610.5 218.5 236 199
398 1000 1973 1372 1941.5 1640.5 1645.5 222 212 214.5
399 1000 1776.5 991 1644 1739.5 1681 219 208.5 205.5
400 1000 1823.5 1001.5 1639.5 1599.5 1596 214 210.5 207.5
401 1000 1700 963 2303.5 2183 2613.5 358 318.5 261
402 1500 2854.5 1842.5 2258 1936.5 2895.5 331 321.5 322.5
403 2000 2275.5 1184.5 1639 1641 1638.5 213 205 206.5
404 1000 1730.5 972 1672 1671.5 1627 226.5 204 204
405 1000 1741.5 1031.5 1651 1645.5 1657.5 206 206.5 203.5
406 1000 1764.5 1000.5 1641 2389.5 2356 310 313 273
